Listening to connections on 172.31.13.142:6001
Connected to 3.16.125.199:6000
852ms
752ms
652ms
552ms
502ms
402ms
603ms
453ms
352ms
252ms
202ms
703ms
804ms
153ms
304ms
Req_ID: 433 not received, duration: 13320ms
Req_ID: 408 not received, duration: 14572ms
Req_ID: 250 not received, duration: 22488ms
Req_ID: 549 not received, duration: 7508ms
Req_ID: 245 not received, duration: 22739ms
Req_ID: 234 not received, duration: 23290ms
Req_ID: 229 not received, duration: 23541ms
Req_ID: 494 not received, duration: 10264ms
Req_ID: 279 not received, duration: 21036ms
Req_ID: 595 not received, duration: 5203ms
Req_ID: 448 not received, duration: 12568ms
Req_ID: 380 not received, duration: 15975ms
Req_ID: 449 not received, duration: 12518ms
Req_ID: 548 not received, duration: 7558ms
Req_ID: 22 not received, duration: 33911ms
Req_ID: 60 not received, duration: 32007ms
Req_ID: 289 not received, duration: 20535ms
Req_ID: 71 not received, duration: 31456ms
Req_ID: 461 not received, duration: 11917ms
Req_ID: 569 not received, duration: 6506ms
Req_ID: 18 not received, duration: 34112ms
Req_ID: 534 not received, duration: 8260ms
Req_ID: 457 not received, duration: 12117ms
Req_ID: 406 not received, duration: 14673ms
Req_ID: 517 not received, duration: 9111ms
Req_ID: 144 not received, duration: 27799ms
Req_ID: 375 not received, duration: 16226ms
Req_ID: 121 not received, duration: 28951ms
Req_ID: 127 not received, duration: 28650ms
Req_ID: 168 not received, duration: 26597ms
Req_ID: 271 not received, duration: 21436ms
Req_ID: 284 not received, duration: 20785ms
Req_ID: 256 not received, duration: 22188ms
Req_ID: 30 not received, duration: 33510ms
Req_ID: 540 not received, duration: 7959ms
Req_ID: 588 not received, duration: 5554ms
Req_ID: 516 not received, duration: 9162ms
Req_ID: 583 not received, duration: 5805ms
Req_ID: 492 not received, duration: 10364ms
Req_ID: 261 not received, duration: 21937ms
Req_ID: 447 not received, duration: 12618ms
Req_ID: 561 not received, duration: 6907ms
Req_ID: 23 not received, duration: 33861ms
Req_ID: 129 not received, duration: 28550ms
Req_ID: 149 not received, duration: 27548ms
Req_ID: 57 not received, duration: 32157ms
Req_ID: 160 not received, duration: 26997ms
Req_ID: 188 not received, duration: 25595ms
Req_ID: 212 not received, duration: 24392ms
Req_ID: 218 not received, duration: 24092ms
Req_ID: 364 not received, duration: 16777ms
Req_ID: 385 not received, duration: 15725ms
Req_ID: 538 not received, duration: 8059ms
Req_ID: 592 not received, duration: 5354ms
Req_ID: 550 not received, duration: 7458ms
Req_ID: 576 not received, duration: 6155ms
Req_ID: 190 not received, duration: 25495ms
Req_ID: 235 not received, duration: 23240ms
Req_ID: 293 not received, duration: 20334ms
Req_ID: 493 not received, duration: 10314ms
Req_ID: 535 not received, duration: 8210ms
Req_ID: 531 not received, duration: 8410ms
Req_ID: 201 not received, duration: 24943ms
Req_ID: 537 not received, duration: 8109ms
Req_ID: 222 not received, duration: 23891ms
Req_ID: 178 not received, duration: 26096ms
Req_ID: 551 not received, duration: 7408ms
Req_ID: 560 not received, duration: 6957ms
Req_ID: 95 not received, duration: 30254ms
Req_ID: 391 not received, duration: 15424ms
Req_ID: 67 not received, duration: 31656ms
Req_ID: 191 not received, duration: 25444ms
Req_ID: 138 not received, duration: 28099ms
Req_ID: 496 not received, duration: 10164ms
Req_ID: 515 not received, duration: 9212ms
Req_ID: 125 not received, duration: 28751ms
Req_ID: 182 not received, duration: 25895ms
Req_ID: 72 not received, duration: 31406ms
Req_ID: 124 not received, duration: 28801ms
Req_ID: 244 not received, duration: 22789ms
Req_ID: 292 not received, duration: 20384ms
Req_ID: 349 not received, duration: 17529ms
Req_ID: 476 not received, duration: 11166ms
Req_ID: 297 not received, duration: 20134ms
Req_ID: 99 not received, duration: 30053ms
Req_ID: 290 not received, duration: 20485ms
Req_ID: 307 not received, duration: 19633ms
Req_ID: 313 not received, duration: 19332ms
Req_ID: 363 not received, duration: 16827ms
Req_ID: 109 not received, duration: 29552ms
Req_ID: 503 not received, duration: 9813ms
Req_ID: 301 not received, duration: 19934ms
Req_ID: 390 not received, duration: 15474ms
Req_ID: 37 not received, duration: 33160ms
Req_ID: 265 not received, duration: 21737ms
Req_ID: 75 not received, duration: 31256ms
Req_ID: 339 not received, duration: 18030ms
Req_ID: 417 not received, duration: 14122ms
Req_ID: 432 not received, duration: 13370ms
Req_ID: 572 not received, duration: 6356ms
