Listening to connections on 172.31.41.11:6001
Connected to 54.147.189.19:6000
74ms
67ms
1355ms
1405ms
1305ms
1004ms
1105ms
1055ms
754ms
253ms
454ms
905ms
955ms
1256ms
655ms
1206ms
204ms
104ms
304ms
605ms
555ms
405ms
705ms
1157ms
806ms
54ms
355ms
505ms
154ms
856ms
Req_ID: 583 not received, duration: 5806ms
Req_ID: 520 not received, duration: 8963ms
Req_ID: 476 not received, duration: 11168ms
Req_ID: 478 not received, duration: 11068ms
Req_ID: 54 not received, duration: 32318ms
Req_ID: 517 not received, duration: 9113ms
Req_ID: 124 not received, duration: 28809ms
Req_ID: 437 not received, duration: 13122ms
Req_ID: 137 not received, duration: 28158ms
Req_ID: 474 not received, duration: 11268ms
Req_ID: 212 not received, duration: 24400ms
Req_ID: 350 not received, duration: 17482ms
Req_ID: 558 not received, duration: 7058ms
Req_ID: 369 not received, duration: 16530ms
Req_ID: 201 not received, duration: 24951ms
Req_ID: 65 not received, duration: 31766ms
Req_ID: 407 not received, duration: 14625ms
Req_ID: 295 not received, duration: 20241ms
Req_ID: 443 not received, duration: 12821ms
Req_ID: 239 not received, duration: 23047ms
Req_ID: 110 not received, duration: 29511ms
Req_ID: 549 not received, duration: 7510ms
Req_ID: 417 not received, duration: 14124ms
Req_ID: 34 not received, duration: 33320ms
Req_ID: 348 not received, duration: 17582ms
Req_ID: 96 not received, duration: 30212ms
Req_ID: 80 not received, duration: 31014ms
Req_ID: 319 not received, duration: 19038ms
Req_ID: 500 not received, duration: 9965ms
Req_ID: 155 not received, duration: 27256ms
Req_ID: 41 not received, duration: 32969ms
Req_ID: 160 not received, duration: 27005ms
Req_ID: 557 not received, duration: 7109ms
Req_ID: 76 not received, duration: 31215ms
Req_ID: 334 not received, duration: 18284ms
Req_ID: 368 not received, duration: 16580ms
Req_ID: 53 not received, duration: 32368ms
Req_ID: 86 not received, duration: 30714ms
Req_ID: 98 not received, duration: 30112ms
Req_ID: 362 not received, duration: 16881ms
Req_ID: 266 not received, duration: 21694ms
Req_ID: 495 not received, duration: 10216ms
Req_ID: 40 not received, duration: 33019ms
Req_ID: 296 not received, duration: 20191ms
Req_ID: 194 not received, duration: 25302ms
Req_ID: 496 not received, duration: 10166ms
Req_ID: 308 not received, duration: 19589ms
Req_ID: 534 not received, duration: 8261ms
Req_ID: 100 not received, duration: 30012ms
Req_ID: 490 not received, duration: 10466ms
Req_ID: 147 not received, duration: 27656ms
Req_ID: 482 not received, duration: 10867ms
Req_ID: 396 not received, duration: 15177ms
Req_ID: 55 not received, duration: 32268ms
Req_ID: 279 not received, duration: 21043ms
Req_ID: 148 not received, duration: 27606ms
Req_ID: 529 not received, duration: 8512ms
Req_ID: 173 not received, duration: 26354ms
Req_ID: 293 not received, duration: 20341ms
Req_ID: 281 not received, duration: 20943ms
Req_ID: 559 not received, duration: 7008ms
Req_ID: 562 not received, duration: 6858ms
Req_ID: 569 not received, duration: 6507ms
Req_ID: 598 not received, duration: 5053ms
Req_ID: 242 not received, duration: 22897ms
Req_ID: 365 not received, duration: 16730ms
Req_ID: 491 not received, duration: 10416ms
Req_ID: 402 not received, duration: 14876ms
Req_ID: 413 not received, duration: 14325ms
