Listening to connections on 172.31.21.227:6001
Connected to 3.96.160.85:6000
911ms
560ms
861ms
761ms
811ms
510ms
660ms
711ms
460ms
410ms
310ms
611ms
260ms
160ms
360ms
210ms
Req_ID: 484 not received, duration: 10767ms
Req_ID: 206 not received, duration: 24695ms
Req_ID: 213 not received, duration: 24344ms
Req_ID: 451 not received, duration: 12420ms
Req_ID: 524 not received, duration: 8763ms
Req_ID: 436 not received, duration: 13172ms
Req_ID: 284 not received, duration: 20787ms
Req_ID: 58 not received, duration: 32109ms
Req_ID: 572 not received, duration: 6356ms
Req_ID: 573 not received, duration: 6306ms
Req_ID: 429 not received, duration: 13522ms
Req_ID: 418 not received, duration: 14073ms
Req_ID: 393 not received, duration: 15326ms
Req_ID: 556 not received, duration: 7158ms
Req_ID: 592 not received, duration: 5354ms
Req_ID: 395 not received, duration: 15226ms
Req_ID: 280 not received, duration: 20987ms
Req_ID: 377 not received, duration: 16127ms
Req_ID: 417 not received, duration: 14123ms
Req_ID: 82 not received, duration: 30907ms
Req_ID: 564 not received, duration: 6757ms
Req_ID: 186 not received, duration: 25697ms
Req_ID: 111 not received, duration: 29454ms
Req_ID: 224 not received, duration: 23793ms
Req_ID: 83 not received, duration: 30856ms
Req_ID: 193 not received, duration: 25346ms
Req_ID: 317 not received, duration: 19134ms
Req_ID: 466 not received, duration: 11669ms
Req_ID: 39 not received, duration: 33061ms
Req_ID: 365 not received, duration: 16729ms
Req_ID: 483 not received, duration: 10817ms
Req_ID: 202 not received, duration: 24895ms
Req_ID: 385 not received, duration: 15727ms
Req_ID: 134 not received, duration: 28301ms
Req_ID: 177 not received, duration: 26148ms
Req_ID: 420 not received, duration: 13973ms
Req_ID: 166 not received, duration: 26699ms
Req_ID: 207 not received, duration: 24645ms
Req_ID: 191 not received, duration: 25446ms
Req_ID: 454 not received, duration: 12270ms
Req_ID: 563 not received, duration: 6807ms
Req_ID: 396 not received, duration: 15176ms
Req_ID: 102 not received, duration: 29905ms
Req_ID: 416 not received, duration: 14174ms
Req_ID: 554 not received, duration: 7258ms
Req_ID: 548 not received, duration: 7558ms
Req_ID: 348 not received, duration: 17581ms
Req_ID: 289 not received, duration: 20537ms
