Listening to connections on 172.31.25.220:6001
Connected to 54.214.191.51:6000
246ms
148ms
200ms
160ms
1101ms
702ms
603ms
753ms
1304ms
1256ms
1006ms
455ms
1071ms
1422ms
1474ms
924ms
273ms
975ms
424ms
223ms
324ms
374ms
1176ms
825ms
675ms
1377ms
1226ms
575ms
525ms
876ms
Req_ID: 410 not received, duration: 14471ms
Req_ID: 129 not received, duration: 28549ms
Req_ID: 190 not received, duration: 25493ms
Req_ID: 236 not received, duration: 23189ms
Req_ID: 206 not received, duration: 24692ms
Req_ID: 501 not received, duration: 9912ms
Req_ID: 330 not received, duration: 18479ms
Req_ID: 275 not received, duration: 21235ms
Req_ID: 377 not received, duration: 16124ms
Req_ID: 380 not received, duration: 15974ms
Req_ID: 264 not received, duration: 21786ms
Req_ID: 302 not received, duration: 19882ms
Req_ID: 281 not received, duration: 20934ms
Req_ID: 478 not received, duration: 11064ms
Req_ID: 530 not received, duration: 8459ms
Req_ID: 294 not received, duration: 20283ms
Req_ID: 137 not received, duration: 28148ms
Req_ID: 89 not received, duration: 30553ms
Req_ID: 498 not received, duration: 10062ms
Req_ID: 350 not received, duration: 17477ms
Req_ID: 41 not received, duration: 32958ms
Req_ID: 277 not received, duration: 21135ms
Req_ID: 439 not received, duration: 13018ms
Req_ID: 182 not received, duration: 25894ms
Req_ID: 272 not received, duration: 21385ms
Req_ID: 394 not received, duration: 15273ms
Req_ID: 417 not received, duration: 14121ms
Req_ID: 446 not received, duration: 12668ms
Req_ID: 460 not received, duration: 11966ms
Req_ID: 469 not received, duration: 11515ms
Req_ID: 81 not received, duration: 30954ms
Req_ID: 154 not received, duration: 27297ms
Req_ID: 138 not received, duration: 28098ms
Req_ID: 475 not received, duration: 11215ms
Req_ID: 392 not received, duration: 15373ms
Req_ID: 464 not received, duration: 11766ms
Req_ID: 424 not received, duration: 13770ms
Req_ID: 122 not received, duration: 28900ms
Req_ID: 234 not received, duration: 23289ms
Req_ID: 452 not received, duration: 12367ms
Req_ID: 345 not received, duration: 17728ms
Req_ID: 393 not received, duration: 15323ms
Req_ID: 456 not received, duration: 12167ms
Req_ID: 495 not received, duration: 10213ms
Req_ID: 201 not received, duration: 24943ms
Req_ID: 273 not received, duration: 21336ms
Req_ID: 258 not received, duration: 22087ms
Req_ID: 483 not received, duration: 10814ms
Req_ID: 108 not received, duration: 29601ms
Req_ID: 551 not received, duration: 7407ms
Req_ID: 535 not received, duration: 8209ms
Req_ID: 60 not received, duration: 32006ms
Req_ID: 230 not received, duration: 23490ms
Req_ID: 338 not received, duration: 18079ms
Req_ID: 73 not received, duration: 31355ms
Req_ID: 543 not received, duration: 7808ms
Req_ID: 304 not received, duration: 19782ms
Req_ID: 242 not received, duration: 22889ms
Req_ID: 415 not received, duration: 14221ms
Req_ID: 299 not received, duration: 20033ms
Req_ID: 184 not received, duration: 25795ms
Req_ID: 123 not received, duration: 28850ms
Req_ID: 223 not received, duration: 23841ms
Req_ID: 416 not received, duration: 14171ms
Req_ID: 279 not received, duration: 21035ms
Req_ID: 359 not received, duration: 17027ms
Req_ID: 556 not received, duration: 7157ms
Req_ID: 494 not received, duration: 10263ms
Req_ID: 268 not received, duration: 21586ms
Req_ID: 194 not received, duration: 25294ms
Req_ID: 576 not received, duration: 6155ms
Req_ID: 473 not received, duration: 11316ms
Req_ID: 334 not received, duration: 18280ms
Req_ID: 480 not received, duration: 10965ms
Req_ID: 68 not received, duration: 31606ms
Req_ID: 461 not received, duration: 11917ms
Req_ID: 305 not received, duration: 19733ms
Req_ID: 241 not received, duration: 22939ms
Req_ID: 370 not received, duration: 16476ms
Req_ID: 214 not received, duration: 24292ms
Req_ID: 193 not received, duration: 25344ms
Req_ID: 145 not received, duration: 27748ms
Req_ID: 534 not received, duration: 8259ms
Req_ID: 105 not received, duration: 29752ms
Req_ID: 71 not received, duration: 31455ms
Req_ID: 445 not received, duration: 12718ms
Req_ID: 486 not received, duration: 10664ms
Req_ID: 512 not received, duration: 9362ms
Req_ID: 118 not received, duration: 29101ms
Req_ID: 337 not received, duration: 18129ms
Req_ID: 420 not received, duration: 13971ms
Req_ID: 436 not received, duration: 13169ms
Req_ID: 524 not received, duration: 8760ms
Req_ID: 568 not received, duration: 6556ms
Req_ID: 522 not received, duration: 8861ms
Req_ID: 386 not received, duration: 15675ms
Req_ID: 462 not received, duration: 11867ms
Req_ID: 562 not received, duration: 6857ms
Req_ID: 110 not received, duration: 29502ms
Req_ID: 347 not received, duration: 17628ms
Req_ID: 444 not received, duration: 12769ms
Req_ID: 569 not received, duration: 6506ms
Req_ID: 47 not received, duration: 32658ms
Req_ID: 583 not received, duration: 5805ms
Req_ID: 519 not received, duration: 9011ms
Req_ID: 278 not received, duration: 21086ms
Req_ID: 471 not received, duration: 11416ms
Req_ID: 292 not received, duration: 20384ms
Req_ID: 170 not received, duration: 26496ms
Req_ID: 226 not received, duration: 23691ms
Req_ID: 106 not received, duration: 29702ms
Req_ID: 388 not received, duration: 15574ms
Req_ID: 284 not received, duration: 20785ms
Req_ID: 511 not received, duration: 9412ms
Req_ID: 477 not received, duration: 11115ms
Req_ID: 537 not received, duration: 8109ms
Req_ID: 205 not received, duration: 24743ms
Req_ID: 317 not received, duration: 19132ms
Req_ID: 76 not received, duration: 31205ms
Req_ID: 62 not received, duration: 31906ms
Req_ID: 219 not received, duration: 24042ms
Req_ID: 379 not received, duration: 16025ms
Req_ID: 419 not received, duration: 14021ms
Req_ID: 257 not received, duration: 22138ms
Req_ID: 322 not received, duration: 18881ms
Req_ID: 596 not received, duration: 5153ms
Req_ID: 368 not received, duration: 16576ms
Req_ID: 578 not received, duration: 6055ms
Req_ID: 51 not received, duration: 32458ms
Req_ID: 181 not received, duration: 25945ms
Req_ID: 269 not received, duration: 21537ms
Req_ID: 267 not received, duration: 21637ms
Req_ID: 255 not received, duration: 22238ms
Req_ID: 100 not received, duration: 30003ms
Req_ID: 493 not received, duration: 10314ms
Req_ID: 61 not received, duration: 31957ms
Req_ID: 466 not received, duration: 11666ms
Req_ID: 316 not received, duration: 19182ms
Req_ID: 180 not received, duration: 25995ms
Req_ID: 246 not received, duration: 22689ms
Req_ID: 225 not received, duration: 23741ms
Req_ID: 360 not received, duration: 16977ms
Req_ID: 586 not received, duration: 5654ms
Req_ID: 132 not received, duration: 28400ms
Req_ID: 37 not received, duration: 33159ms
Req_ID: 195 not received, duration: 25244ms
Req_ID: 399 not received, duration: 15023ms
Req_ID: 487 not received, duration: 10614ms
Req_ID: 408 not received, duration: 14572ms
Req_ID: 243 not received, duration: 22839ms
Req_ID: 428 not received, duration: 13570ms
